driverId,truckId,eventTime
14,25,59:21.4
18,16,59:21.7
27,105,59:21.7
11,74,59:21.7
22,87,59:21.7
22,87,59:22.3
23,68,59:22.4
11,74,59:22.5
20,41,59:22.5
32,42,59:22.5
27,105,59:22.6
17,15,59:23.2
14,25,59:23.3
28,39,59:23.3
15,51,59:23.4
16,12,59:23.4
31,18,59:23.5
25,96,59:23.5
14,25,59:24.2
22,87,59:24.2
32,42,59:24.2
24,97,59:24.3
25,96,59:24.3
29,66,59:24.7
22,87,59:25.0
18,16,59:25.0
19,26,59:25.1
26,57,59:25.2
16,12,59:25.3
21,109,59:25.7
13,89,59:25.9
19,26,59:25.9
27,105,59:25.9
25,96,59:26.2
23,68,59:26.6
22,87,59:26.6
10,85,59:26.8
28,39,59:26.9
26,57,59:27.0
25,96,59:27.0
23,68,59:27.4
13,89,59:27.6
27,105,59:27.7
28,39,59:27.7
25,96,59:27.8
24,97,59:27.9
30,58,59:28.0
11,74,59:28.3
23,68,59:28.4
13,89,59:28.5
16,12,59:28.8
15,51,59:28.8
12,104,59:29.1
17,15,59:29.2
27,105,59:29.3
13,89,59:29.5
16,12,59:29.6
23,68,59:29.9
11,74,59:30.0
22,87,59:30.1
21,109,59:30.4
13,89,59:30.5
16,12,59:30.5
17,15,59:30.8
23,68,59:30.8
32,42,59:31.2
13,89,59:31.4
24,97,59:31.4
16,12,59:31.4
29,66,59:31.6
11,74,59:31.8
19,26,59:32.1
32,42,59:32.1
30,58,59:32.4
29,66,59:32.5
26,57,59:32.5
28,39,59:33.0
19,26,59:33.0
21,109,59:33.1
29,66,59:33.2
30,58,59:33.4
15,51,59:33.5
32,42,59:33.7
19,26,59:33.7
14,25,59:34.0
26,57,59:34.2
16,12,59:34.3
15,51,59:34.4
10,85,59:34.6
31,18,59:34.7
29,66,59:35.1
15,51,59:35.1
12,104,59:35.3
20,41,59:35.5
31,18,59:35.6
27,105,59:35.6
14,25,59:35.8
26,57,59:35.9
18,16,59:36.3
31,18,59:36.3
19,26,59:36.4
21,109,59:36.4
26,57,59:36.7
23,68,59:37.0
12,104,59:37.1
11,74,59:37.2
28,39,59:37.3
32,42,59:37.4
25,96,59:37.6
22,87,59:37.9
21,109,59:37.9
28,39,59:38.1
32,42,59:38.2
16,12,59:38.7
15,51,59:38.7
11,74,59:38.9
10,85,59:38.9
32,42,59:39.0
13,89,59:39.1
20,41,59:39.6
23,68,59:39.6
30,58,59:39.7
31,18,59:39.7
32,42,59:39.8
13,89,59:40.1
23,68,59:40.4
26,57,59:40.5
16,12,59:40.6
32,42,59:40.7
17,15,59:40.8
20,41,59:41.3
23,68,59:41.3
15,51,59:41.4
29,66,59:41.5
21,109,59:41.5
28,39,59:41.8
13,89,59:42.0
23,68,59:42.2
19,26,59:42.3
18,16,59:42.4
11,74,59:42.6
25,96,59:42.7
20,41,59:42.9
26,57,59:43.1
16,12,59:43.2
18,16,59:43.3
10,85,59:43.5
24,97,59:43.6
13,89,59:43.8
23,68,59:43.9
21,109,59:44.1
20,41,59:44.4
28,39,59:44.5
30,58,59:44.5
13,89,59:44.8
29,66,59:44.8
18,16,59:45.0
28,39,59:45.3
30,58,59:45.4
11,74,59:45.5
23,68,59:45.7
15,51,59:45.8
16,12,59:45.8
17,15,59:46.0
10,85,59:46.0
23,68,59:46.4
13,89,59:46.6
12,104,59:46.7
19,26,59:46.7
10,85,59:46.9
11,74,59:47.3
23,68,59:47.3
21,109,59:47.5
26,57,59:47.6
17,15,59:47.7
25,96,59:48.0
16,12,59:48.2
11,74,59:48.2
22,87,59:48.4
10,85,59:48.5
17,15,59:48.7
18,16,59:48.8
32,42,59:49.0
31,18,59:49.0
21,109,59:49.2
26,57,59:49.3
18,16,59:49.6
24,97,59:49.9
25,96,59:49.9
15,51,59:50.0
10,85,59:50.1
26,57,59:50.2
25,96,59:50.7
24,97,59:50.7
21,109,59:50.8
27,105,59:50.9
26,57,59:50.9
32,42,59:51.4
24,97,59:51.5
12,104,59:51.6
28,39,59:51.6
27,105,59:51.8
31,18,59:51.9
19,26,59:52.3
30,58,59:52.4
21,109,59:52.5
26,57,59:52.7
29,66,59:52.7
17,15,59:52.8
24,97,59:53.0
14,25,59:53.3
12,104,59:53.4
27,105,59:53.8
17,15,59:53.8
31,18,59:53.8
14,25,59:54.0
25,96,59:54.2
13,89,59:54.2
26,57,59:54.4
27,105,59:54.9
22,87,59:54.9
30,58,59:55.0
23,68,59:55.0
26,57,59:55.2
10,85,59:55.2
24,97,59:55.7
28,39,59:55.7
32,42,59:55.8
18,16,59:56.0
26,57,59:56.1
10,85,59:56.2
22,87,59:56.5
32,42,59:56.7
19,26,59:56.7
21,109,59:56.9
10,85,59:57.1
11,74,59:57.3
20,41,59:57.4
14,25,59:57.5
26,57,59:57.6
21,109,59:57.7
16,12,59:57.8
20,41,59:58.2
17,15,59:58.3
28,39,59:58.4
27,105,59:58.4
21,109,59:58.7
15,51,59:59.1
14,25,59:59.2
22,87,59:59.2
26,57,59:59.3
30,58,59:59.4
21,109,59:59.5
16,12,59:59.6
15,51,00:00.0
28,39,00:00.1
30,58,00:00.3
19,26,00:00.4
25,96,00:00.4
29,66,00:00.8
11,74,00:00.8
32,42,00:01.0
20,41,00:01.1
23,68,00:01.2
19,26,00:01.3
10,85,00:01.5
11,74,00:01.8
23,68,00:02.0
21,109,00:02.0
19,26,00:02.3
25,96,00:02.4
17,15,00:02.6
31,18,00:02.8
23,68,00:02.8
18,16,00:02.9
19,26,00:03.1
25,96,00:03.3
17,15,00:03.6
31,18,00:03.7
30,58,00:03.8
21,109,00:03.9
26,57,00:03.9
29,66,00:04.2
28,39,00:04.4
14,25,00:04.6
11,74,00:04.6
21,109,00:04.7
26,57,00:04.8
29,66,00:05.0
31,18,00:05.4
11,74,00:05.4
23,68,00:05.5
12,104,00:05.6
28,39,00:05.9
29,66,00:05.9
15,51,00:06.2
22,87,00:06.4
23,68,00:06.5
16,12,00:06.5
32,42,00:07.0
31,18,00:07.0
14,25,00:07.2
22,87,00:07.3
27,105,00:07.4
28,39,00:07.6
29,66,00:07.7
32,42,00:08.0
22,87,00:08.1
11,74,00:08.1
16,12,00:08.2
24,97,00:08.7
32,42,00:08.8
20,41,00:08.9
25,96,00:08.9
11,74,00:09.0
27,105,00:09.0
10,85,00:09.5
22,87,00:09.6
15,51,00:09.7
25,96,00:09.8
30,58,00:09.9
17,15,00:10.1
10,85,00:10.5
31,18,00:10.6
27,105,00:10.6
15,51,00:10.6
26,57,00:10.7
23,68,00:10.8
24,97,00:11.2
32,42,00:11.4
30,58,00:11.5
11,74,00:11.6
12,104,00:12.1
28,39,00:12.1
10,85,00:12.2
31,18,00:12.3
27,105,00:12.3
26,57,00:12.5
14,25,00:12.7
24,97,00:13.0
32,42,00:13.1
31,18,00:13.1
18,16,00:13.3
16,12,00:13.4
19,26,00:13.7
22,87,00:13.9
10,85,00:14.0
11,74,00:14.1
25,96,00:14.1
14,25,00:14.6
28,39,00:14.6
22,87,00:14.7
10,85,00:15.0
20,41,00:15.0
27,105,00:15.0
21,109,00:15.2
24,97,00:15.6
27,105,00:15.8
15,51,00:15.8
18,16,00:15.9
11,74,00:16.0
21,109,00:16.1
24,97,00:16.5
31,18,00:16.6
27,105,00:16.7
18,16,00:16.7
12,104,00:16.9
13,89,00:17.0
19,26,00:17.4
32,42,00:17.4
25,96,00:17.6
15,51,00:17.7
30,58,00:17.8
13,89,00:18.0
25,96,00:18.4
20,41,00:18.5
23,68,00:18.5
21,109,00:18.7
13,89,00:18.8
22,87,00:19.1
10,85,00:19.2
31,18,00:19.3
30,58,00:19.4
12,104,00:19.6
17,15,00:19.9
28,39,00:19.9
10,85,00:20.1
20,41,00:20.3
30,58,00:20.3
16,12,00:20.4
26,57,00:20.6
19,26,00:20.8
32,42,00:21.0
10,85,00:21.1
13,89,00:21.4
26,57,00:21.5
12,104,00:21.5
25,96,00:21.9
15,51,00:21.9
23,68,00:21.9
20,41,00:22.1
26,57,00:22.4
12,104,00:22.4
15,51,00:22.7
29,66,00:22.7
27,105,00:22.8
11,74,00:23.1
12,104,00:23.3
17,15,00:23.4
27,105,00:23.6
32,42,00:23.6
31,18,00:23.6
11,74,00:23.9
16,12,00:24.0
23,68,00:24.4
31,18,00:24.5
32,42,00:24.6
30,58,00:24.8
11,74,00:24.9
19,26,00:24.9
23,68,00:25.4
13,89,00:25.4
25,96,00:25.5
24,97,00:25.5
16,12,00:25.6
26,57,00:26.0
22,87,00:26.1
27,105,00:26.2
25,96,00:26.3
30,58,00:26.7
17,15,00:26.7
26,57,00:26.9
31,18,00:27.0
18,16,00:27.1
14,25,00:27.3
17,15,00:27.5
16,12,00:27.6
26,57,00:27.8
27,105,00:27.9
23,68,00:28.1
28,39,00:28.3
30,58,00:28.4
11,74,00:28.4
29,66,00:28.8
31,18,00:28.8
23,68,00:29.0
17,15,00:29.2
30,58,00:29.3
22,87,00:29.4
18,16,00:29.5
13,89,00:29.6
10,85,00:29.9
24,97,00:30.0
27,105,00:30.3
26,57,00:30.3
29,66,00:30.6
28,39,00:30.7
14,25,00:30.7
27,105,00:31.1
22,87,00:31.1
15,51,00:31.1
12,104,00:31.3
17,15,00:31.6
30,58,00:31.7
10,85,00:31.8
11,74,00:32.0
31,18,00:32.1
18,16,00:32.2
14,25,00:32.6
28,39,00:32.6
27,105,00:32.7
22,87,00:32.8
15,51,00:32.9
18,16,00:33.1
30,58,00:33.4
17,15,00:33.4
27,105,00:33.6
19,26,00:33.7
26,57,00:33.9
18,16,00:33.9
20,41,00:34.4
32,42,00:34.5
16,12,00:34.7
11,74,00:34.7
12,104,00:34.9
21,109,00:34.9
22,87,00:35.3
20,41,00:35.3
25,96,00:35.6
18,16,00:35.6
15,51,00:35.7
17,15,00:36.0
27,105,00:36.1
12,104,00:36.4
25,96,00:36.4
15,51,00:36.5
17,15,00:36.7
27,105,00:37.0
14,25,00:37.1
28,39,00:37.2
18,16,00:37.3
11,74,00:37.4
15,51,00:37.4
27,105,00:37.9
13,89,00:38.0
30,58,00:38.0
25,96,00:38.3
19,26,00:38.3
20,41,00:38.7
14,25,00:38.9
30,58,00:38.9
26,57,00:39.0
18,16,00:39.0
17,15,00:39.3
11,74,00:39.3
30,58,00:39.7
18,16,00:39.8
28,39,00:39.9
12,104,00:39.9
17,15,00:40.2
10,85,00:40.6
27,105,00:40.6
28,39,00:40.7
31,18,00:40.9
25,96,00:40.9
20,41,00:41.2
24,97,00:41.4
32,42,00:41.5
12,104,00:41.5
19,26,00:41.7
25,96,00:41.9
20,41,00:41.9
27,105,00:42.4
32,42,00:42.4
31,18,00:42.5
25,96,00:42.7
20,41,00:42.7
14,25,00:43.2
31,18,00:43.2
18,16,00:43.3
15,51,00:43.4
26,57,00:43.4
23,68,00:43.5
16,12,00:43.8
28,39,00:44.2
29,66,00:44.2
13,89,00:44.3
23,68,00:44.3
11,74,00:44.6
27,105,00:44.7
12,104,00:45.0
31,18,00:45.0
20,41,00:45.2
25,96,00:45.3
18,16,00:45.7
10,85,00:45.7
22,87,00:45.7
13,89,00:46.0
23,68,00:46.0
15,51,00:46.0
16,12,00:46.5
14,25,00:46.7
13,89,00:46.7
31,18,00:46.8
23,68,00:46.9
26,57,00:47.0
16,12,00:47.2
28,39,00:47.5
10,85,00:47.6
19,26,00:47.6
21,109,00:47.7
26,57,00:47.8
16,12,00:48.0
28,39,00:48.5
29,66,00:48.6
24,97,00:48.6
21,109,00:48.7
18,16,00:49.0
13,89,00:49.2
17,15,00:49.3
10,85,00:49.4
19,26,00:49.4
23,68,00:49.6
14,25,00:50.0
22,87,00:50.1
24,97,00:50.1
30,58,00:50.2
29,66,00:50.4
15,51,00:50.6
16,12,00:50.8
24,97,00:50.9
23,68,00:51.3
19,26,00:51.3
29,66,00:51.3
18,16,00:51.6
31,18,00:51.7
22,87,00:51.8
20,41,00:52.0
23,68,00:52.2
21,109,00:52.3
15,51,00:52.5
18,16,00:52.5
28,39,00:52.7
30,58,00:53.0
26,57,00:53.1
32,42,00:53.1
24,97,00:53.4
14,25,00:53.5
17,15,00:53.6
32,42,00:54.0
15,51,00:54.1
25,96,00:54.1
21,109,00:54.2
31,18,00:54.4
19,26,00:54.8
30,58,00:54.9
16,12,00:55.0
28,39,00:55.2
